公司名字:佛山宾丽生物科技有限公司, 法人:谭秀英, 地址:佛山三水工业园区D区23号(F4)一、二、三楼（住所申报）
公司名字:佛山市沐泽化妆品有限公司, 法人:周扬波, 地址:佛山市南海区里水镇和顺和桂工业园A区和安南路1号B栋二楼之一（住所申报）
公司名字:广东赛美化妆品有限公司, 法人:崔长江, 地址:广州市白云区广花三路468号405房
公司名字:美高药业（广州）有限公司, 法人:罗德标, 地址:广州市白云区太和镇园夏大道西街B9号之二二楼（自主申报）
公司名字:广州创尔美肤生物科技有限公司, 法人:李颖, 地址:广州市高新技术产业开发区科研路16号D1栋二层(自主申报)
公司名字:漳州艾沐日用品有限公司, 法人:陈超, 地址:福建省龙海市浮宫镇圳兴路18号F幢501室
公司名字:莹特丽化妆品（苏州）有限公司, 法人:Stephane Hubert Tsassis, 地址:苏州工业园区启明路89号
公司名字:汕头市韩妃化妆品有限公司, 法人:陈少伟, 地址:汕头市潮阳区和平镇紫中路15号
公司名字:滁州植兀生物科技有限公司, 法人:蒋鹏飞, 地址:安徽省滁州市苏滁现代产业园锦州路108号
公司名字:汕头市鑫庄化妆品有限公司, 法人:杜曼琴, 地址:汕头市澄海区澄华窖内工业区
公司名字:江苏创铭医疗器械有限公司, 法人:钱松, 地址:江苏武进经济开发区锦程路18号
公司名字:云南贝泰妮生物科技集团股份有限公司, 法人:GUO ZHENYU（郭振宇）, 地址:云南省昆明市高新区科医路53号
公司名字:广州缘生源化妆品有限公司, 法人:司继国, 地址:广州市白云区人和镇西城工业华盛北路26号（空港白云）
公司名字:广州市玖香亿化妆品有限公司, 法人:云龙波, 地址:广州市白云区鹤龙街鹤龙一横路6号F栋5楼2号
公司名字:广州米莱化妆品制造有限公司, 法人:杨宝仪, 地址:广州市花都区新雅街华兴工业区东升路5号A栋厂房四楼之一
公司名字:广州圣海健康产业有限公司, 法人:魏海, 地址:广州市白云区夏茅向西工业大道四横路23号
公司名字:广州市莲娜姬化妆品有限公司, 法人:郭汉松, 地址:广州市白云区神山镇神山工业区振华路自编3号
公司名字:广州市威蒂娜化妆品有限公司, 法人:姜小虎, 地址:广州市白云区钟落潭镇金盆金埔工业一路7号
公司名字:惠州市深同跃实业有限公司, 法人:饶志文, 地址:龙门县惠州产业转移工业园工业五路9号
公司名字:广东迪悦生物科技有限公司, 法人:李可知, 地址:清远市清城区石角镇广州（清远）产业转移工业园智汇路5号骏达科技3号楼
公司名字:惠州绵俪生物科技有限公司, 法人:张艳芳, 地址:惠州市惠城区高新科技产业园南部片区工业园大道8号
公司名字:羽清（湖北）生物制品有限公司, 法人:余朋羽, 地址:湖北省咸宁市赤壁市中伙铺镇高新区美丽健康产业园
公司名字:广州市为好国际生物科技有限公司, 法人:蔡金兰, 地址:广州市白云区钟落潭镇良园二横路11号1栋501室
公司名字:广州晟美化妆品科技有限公司, 法人:徐成元, 地址:广州市白云区长红双和工业园横路6号（自主申报）
公司名字:广州艾尚莉生物科技有限公司, 法人:刘文青, 地址:广州市白云区嘉禾街望岗下田工业路20号C栋六、七楼
公司名字:广州珀蔻化妆用品有限公司, 法人:时洪忠, 地址:广州市白云区钟落潭镇金盆村金盆南路286号D栋四楼（自主申报）
公司名字:广东思琦化妆品有限公司, 法人:崔斌清, 地址:佛山市南海区里水镇大冲工业区东田洋厂房1号（住所申报）
公司名字:日森药妆（广东）生物科技有限公司, 法人:李军, 地址:佛山市南海区里水镇和顺和桂工业园B区顺景大道1号厂房C首层（住所申报）
公司名字:广州市雅芙丽化妆品有限公司, 法人:胡晋文, 地址:广州市白云区新市镇新科村106国道科甲路段西侧旧坑圣工业厂房2号
公司名字:广东康容实业有限公司, 法人:张建洪, 地址:广州市白云区江高镇神山管理区镇中北路63号A2房
