店名: 海信甜品, 地址: 解放路188号信达广场裙楼3F336号, 省市: 天津市, 天津市
店名: 海晨道汽车穿梭餐厅, 地址: 滨海旅游区安正路252号1、2层, 省市: 天津市, 天津市
店名: 大津城, 地址: 武台村雅乐道与瑶琳路交口大津城一层, 省市: 天津市, 天津市
店名: 吉兆路汽车穿梭餐厅, 地址: 双港镇吉兆路西侧林景家园配建1号01号一、二层, 省市: 天津市, 天津市
店名: 新围堤道甜品, 地址: 南北大街1号, 省市: 天津市, 天津市
店名: 西站高架层一层餐厅, 地址: 红桥区津沪高铁天津西火车站高架层C07-J07/300120-1层, 省市: 天津市, 天津市
店名: 天津嘉里汇, 地址: 六纬路238号“天津嘉里汇” [B1]层[B1011/1012/1015], 省市: 天津市, 天津市
店名: 吾悦广场餐厅, 地址: 新城吾悦广场1026号商铺, 省市: 天津市, 天津市
店名: 紫乐广场餐厅, 地址: 津塘路紫乐广场2号楼1、2、3门—130号一层铺位, 省市: 天津市, 天津市
店名: 天津鞍山道, 地址: 医科大学总医院旁和平印.嘉兰铭轩2号楼9门房产, 省市: 天津市, 天津市
店名: 环河北路二甜品, 地址: 环河北路168号，SM广场，店铺位于二层A2008场所, 省市: 天津市, 天津市
店名: 永乐桥餐厅, 地址: 天纬路与五马路交口东南侧凤凰商贸广场1-1-6号和凤凰商贸广场1-1-7号, 省市: 天津市, 天津市
店名: 集贤, 地址: 延吉道永辉超市一、二层, 省市: 天津市, 天津市
店名: 天津金钟街, 地址: 金钟街金钟时代广场C座1层铺位号为：1F001/1F016, 省市: 天津市, 天津市
店名: 天津爱琴海外卖点, 地址: 琳科东路68号五层【F5016】号, 省市: 天津市, 天津市
店名: 长江道餐厅, 地址: 长江道92号1-2F, 省市: 天津市, 天津市
店名: 旭日路外卖点, 地址: 1层A01号铺位号和负一层B01号铺位大港海景七路以西，旭日路以北福瑞商业楼2号楼旭日路（东）300号迎宾超市, 省市: 天津市, 天津市
店名: 大寺人人乐餐厅, 地址: 卢北路20号、卢北路22号房产大寺人人乐一层商铺M03号, 省市: 天津市, 天津市
店名: 一中心复康路外卖点, 地址: 复康路一中心医院F区一层101号负一层B 101号, 省市: 天津市, 天津市
店名: 天津天塔道餐厅, 地址: 天塔道54号一、二层, 省市: 天津市, 天津市
